"StartTime","internal_node_id","phase","rt","subject","time_elapsed","trial_index","trial_type","url","key_press","stimulus","success","fullscreen","responses","colour","cor_response","correct","stim_type","word"
1586369480944,"0.0-5.0-0.7","Practice",437.289999987115,"6ns4bpjjb6lyst0",23429,12,"html-keyboard-response",NA,75,"<p id = 'contingency_stim', style = 'color: yellow; font-size: 60pt;'>PLATE</p>",NA,NA,NA,"yellow","k",TRUE,"Practice","PLATE"
1586369480944,"0.0-5.0-0.8","Practice",222.695000004023,"6ns4bpjjb6lyst0",23654,13,"html-keyboard-response",NA,76,"<p id = 'contingency_stim', style = 'color: green; font-size: 60pt;'>PLATE</p>",NA,NA,NA,"green","l",TRUE,"Practice","PLATE"
1586369480944,"0.0-5.0-0.9","Practice",245.395000005374,"6ns4bpjjb6lyst0",23903,14,"html-keyboard-response",NA,74,"<p id = 'contingency_stim', style = 'color: red; font-size: 60pt;'>CLOCK</p>",NA,NA,NA,"red","j",TRUE,"Practice","CLOCK"
1586369480944,"0.0-5.0-0.10","Practice",268.465000001015,"6ns4bpjjb6lyst0",24174,15,"html-keyboard-response",NA,75,"<p id = 'contingency_stim', style = 'color: yellow; font-size: 60pt;'>CLOCK</p>",NA,NA,NA,"yellow","k",TRUE,"Practice","CLOCK"
1586369480944,"0.0-5.0-0.11","Practice",214.414999994915,"6ns4bpjjb6lyst0",24390,16,"html-keyboard-response",NA,76,"<p id = 'contingency_stim', style = 'color: green; font-size: 60pt;'>CLOCK</p>",NA,NA,NA,"green","l",TRUE,"Practice","CLOCK"
1586369480944,"0.0-6.0-0.0-0.0","Survey",1986.59999998927,"6ns4bpjjb6lyst0",26383,17,"survey-text",NA,NA,NA,NA,TRUE,"{""Par_Age"":""2""}",NA,NA,NA,NA,NA
1586369480944,"0.0-6.0-1.0","Survey",3267.41999998922,"6ns4bpjjb6lyst0",29656,18,"survey-html-form",NA,NA,NA,NA,TRUE,"{""Gender_Q"":""Other_gender"",""other_gender_fill_in"":""""}",NA,NA,NA,NA,NA
1586369480944,"0.0-6.0-2.0","Survey",2020.20499999344,"6ns4bpjjb6lyst0",31679,19,"survey-html-form",NA,NA,NA,NA,TRUE,"{""Country_Q"":""Other_country"",""other_country_fill_in"":""""}",NA,NA,NA,NA,NA
1586369480944,"0.0-6.0-3.0","Survey",2632.8050000011,"6ns4bpjjb6lyst0",34319,20,"survey-text",NA,NA,NA,NA,TRUE,"{""Par_ID"":""brad2""}",NA,NA,NA,NA,NA
1586369480944,"0.0-7.0",NA,NA,"6ns4bpjjb6lyst0",35323,21,"fullscreen",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
